serv_area_id,state,Org_ID,Program_Name,Addr1,Addr2,City,State,Zip,,,,
LA-10,LA,619051,Acadiana Legal Service Corporation,1020 Surrey Street,P.O. Box 4823,Lafayette,LA,70502-4823,Acadiana Legal Service Corporation ,(337) 237-4320 ,(800) 256-1175 ,http://www.la-law.org/ 
AK-1,AK,902000,Alaska Legal Services Corporation,1016 W. 6th Avenue,Suite 200,Anchorage,AK,99501-0963,Alaska Legal Services Corporation ,(907) 452-5181 ,(800) 478-5401 ,http://www.alsc-law.org/ 
KY-5,KY,618030,Appalachian Research and Defense Fund of Kentucky,120 North Front Avenue,,Prestonsburg,KY,41653,Appalachian Research and Defense Fund of Kentucky ,(606) 886-9876 ,(800) 556-3876 ,
GA-1,GA,611010,"Atlanta Legal Aid Society, Inc.","151 Spring Street, N.W.",,Atlanta,GA,30303-2097,"Atlanta Legal Aid Society, Inc. ",(404) 524-5811 ,(404) 524-5811 ,http://www.ardfky.org/ 
CA-28,CA,805270,Bay Area Legal Aid,1735 Telegraph Avenue,,Oakland,CA,94612,Bay Area Legal Aid ,(510) 663-4755 ,(510) 663-4744 ,http://www.atlantalegalaid.org/ 
FL-16,FL,610050,"Bay Area Legal Services, Inc.",1302 N. 19th Street,Suite 400,Tampa,FL,33605,"Bay Area Legal Services, Inc. ",(813) 232-1343 ,(813) 232-1343 ,http://www.baylegal.org/ 
VA-19,VA,447081,"Blue Ridge Legal Services, Inc.",204 North High Street,P.O. Box 551,Harrisonburg,VA,22803,"Blue Ridge Legal Services, Inc. ",(540) 433-1830 ,(800) 237-0141 ,http://www.bals.org/ 
CA-1,CA,705158,"California Indian Legal Services, Inc.",609 S. Escondido Blvd.,,Escondido,CA,92025,"California Indian Legal Services, Inc. ",(760) 746-8941 ,(800) 743-8941 ,http://www.brls.org/ 
CA-31,CA,805260,"California Rural Legal Assistance, Inc.",631 Howard Street, Suite 300,San Francisco,CA,94105-3907,"California Rural Legal Assistance, Inc. ",(415) 777-2752 ,(415) 777-2752 ,http://www.calindian.org/ 
AR-7,AR,604061,Center for Arkansas Legal Services,1300 W. 6th Street,,Little Rock,AR,72201-3593,Center for Arkansas Legal Services ,(501) 376-3423 ,(800) 950-5817 ,http://www.crla.org/ 
CA-26,CA,805060,Central California Legal Services,2115 Kern Street,Suite 1,Fresno,CA,93721,Central California Legal Services ,(559) 570-1200 ,(800) 675-8001 ,http://www.arlegalservices.org/ 
NJ-17,NJ,331110,"Central Jersey Legal Services, Inc.",317 George Street,Suite 201,New Brunswick,NJ,08901-2006,"Central Jersey Legal Services, Inc. ",(732) 249-7600 ,(732) 249-7600 ,http://www.centralcallegal.org/ 
MN-6,MN,524020,"Central Minnesota Legal Services, Inc.",430 First Avenue North,Suite 359,Minneapolis,MN,55401-1780,"Central Minnesota Legal Services, Inc. ",(612) 332-8151 ,(612) 334-5970 ,http://www.lsnj.org/cjls/index.htm 
VA-18,VA,447030,"Central Virginia Legal Aid Society, Inc.","101 West Broad St., Suite 101",P.O. Box 12206,Richmond,VA,23241-2206,"Central Virginia Legal Aid Society, Inc. ",(804) 648-1012 ,(800) 868-1012 ,http://www.centralmnlegal.org 
FL-18,FL,610090,"Coast to Coast Legal Aid of South Florida,  Inc.",491 North State Road 7,,Plantation,FL,33317,"Coast to Coast Legal Aid of South Florida, Inc. ",(954) 736-2400 ,(954) 736-2400 ,http://www.cvlas.org/ 
CO-6,CO,706060,Colorado Legal Services,1905 Sherman Street,Suite 400,Denver,CO,80203,Colorado Legal Services ,(303) 866-9399 ,(303) 837-1321 ,http://www.coasttocoastlegalaid.org 
PR-2,PR,253030,"Community Law Office, Inc.",170 Calle Federico Costa,Box 194735,San Juan,PR,00919-4735,"Community Law Office, Inc. ",(787) 751-1600 ,(787) 751-1600 ,http://www.coloradolegalservices.org/co/homepage.html 
OH-20,OH,436030,"Community Legal Aid Services, Inc.",50 South Main Street,,Akron,OH,44308,"Community Legal Aid Services, Inc. ",(330) 535-4191 ,(866) 584-2350 ,http://oficinalegaldelacomunidad.org/ 
FL-15,FL,610010,"Community Legal Services of Mid-Florida, Inc.",128 Orange Avenue,Suite 300,Daytona Beach,FL,32114-4310,"Community Legal Services of Mid-Florida, Inc. ",(386) 255-6573 ,(386) 255-6573 ,http://www.communitylegalaid.org/ 
AZ-3,AZ,703030,"Community Legal Services, Inc.",305 South 2nd Avenue,PO Box 21538,Phoenix,AZ,85036-1538,"Community Legal Services, Inc. ",(602) 258-3434 ,(800) 852-9075 ,http://www.clsmf.org/ 
SD-4,SD,742018,"Dakota Plains Legal Services, Inc.",160 Second Street,P.O. Box 727,Mission,SD,57555-0727,"Dakota Plains Legal Services, Inc. ",(605) 856-4444 ,(800) 658-2297 ,http://www.clsaz.org 
AZ-2,AZ,703068,"DNA-Peoples Legal Services, Inc.","Route 12, Highway 264",P.O. Box 306,Window Rock,AZ,86515-0306,"DNA-Peoples Legal Services, Inc.",(928) 871-4151,(800) 789-7287,http://www.helpsouthdakota.com/homeDPLS
NM-1,NM,703068,"DNA-Peoples Legal Services, Inc.","Route 12, Highway 264",P.O. Box 306,Window Rock,AZ,86515-0306,"DNA-Peoples Legal Services, Inc. ",(928) 871-4151 ,(800) 789-7287 ,http://www.helpsouthdakota.com/homeDPLS 
SD-2,SD,542026,East River Legal Services,335 North Main Ave.,Suite 300,Sioux Falls,SD,57104,East River Legal Services ,(605) 336-9230 ,(800) 952-3015 ,http://www.dnalegalservices.org 
NJ-8,NJ,331060,"Essex-Newark Legal Services Project, Inc.",5 Commerce Street,2nd Floor,Newark,NJ,7102,"Essex-Newark Legal Services Project, Inc. ",(973) 624-4500 ,(973) 624-4500 ,http://www.erls.org 
FL-17,FL,610020,"Florida Rural Legal Services, Inc.",1321 E. Memorial Boulevard,,Lakeland,FL,33801,"Florida Rural Legal Services, Inc. ",(239) 334-4554 ,(800) 277-7680 ,http://www.lsnj.org/directory.htm 
GA-2,GA,611020,Georgia Legal Services Program,104 Marietta Street,Suite 250,Atlanta,GA,30303-2848,Georgia Legal Services Program ,(404) 206-5175 ,(800) 498-9469 ,http://www.frls.org/ 
CA-2,CA,805010,"Greater Bakersfield Legal Assistance, Inc.",615 California Avenue,,Bakersfield,CA,93304,"Greater Bakersfield Legal Assistance, Inc. ",(661) 334-4660 ,(805) 325-5943 ,http://www.glsp.org/ 
GU-1,GU,960007,Guam Legal Services Corporation,113 Bradley Place,,Hagatna,GU,96910-4911,Guam Legal Services Corporation ,(671) 477-9811 ,(671) 477-9811 ,http://gbla.org/ez.php?Page=3226 
